Frac_B	N	N_a	N_b	Med_KE_A	Med_KE_B	Radius_A	Radius_B	Med_KE	Q1_KE	Q3_KE	Med_time	Q1_endtime	Q3_endtime	Med_AUDPC	Q1_AUDPC	Q3_AUDPC	Med_AUDPC_SPS	Q1_AUDPC_SPS	Q3_AUDPC_SPS	Q1_AUDPC_A	Q3_AUDPC_A	                     Med_AUDPC_A	Q1_AUDPC_B	Q3_AUDPC_B	Med_AUDPC_B
0.5	1110	555	555	533.0	532.0	100	1150                             	1067.5	1007.2	1095.0	597.0	426.6	880.1	250243.4	211157.7	289990.8	3353.3	2829.5	3885.9	105134.1	143999.6	126249.5	105782.1	146038.8	126122.9
0.5	1110	555	555	534.0	532.0	150	0                             	1066.0	1054.0	1073.0	3141.8	2835.0	3621.1	407282.0	387593.0	429443.9	5457.6	5193.7	5754.5	179037.9	200492.7	189653.4	206676.9	228121.0	217050.2
0.5	1110	555	555	532.0	531.0	150	50                             	1062.0	1051.0	1073.0	3182.9	2713.6	3621.2	401950.8	386529.2	426457.2	5386.1	5179.5	5714.5	180826.2	201307.3	189565.8	204182.2	225716.4	212793.7
0.5	1110	555	555	531.0	528.0	150	100                             	1058.0	1045.2	1070.0	2959.5	2638.8	3333.0	402466.9	378725.4	429342.4	5393.1	5074.9	5753.2	180064.8	202726.9	190493.5	199468.3	226786.9	212038.8
0.5	1110	555	555	529.0	528.0	150	150                             	1055.0	1040.2	1068.0	2696.5	2410.9	3053.8	404823.2	380893.9	433794.9	5424.6	5104.0	5812.9	180613.1	207236.5	192099.4	198456.6	225489.5	211422.1
0.5	1110	555	555	523.5	524.0	150	200                             	1047.0	1030.2	1060.0	2482.6	2216.1	2870.8	410411.1	384776.1	448418.7	5499.5	5156.0	6008.8	185777.8	216518.0	199034.0	198814.6	230586.3	212735.8
0.5	1110	555	555	523.0	521.0	150	250                             	1045.0	1020.0	1062.0	2296.1	2024.5	2758.3	406649.2	377580.7	443067.1	5449.1	5059.6	5937.1	182142.7	214724.6	199225.6	194119.3	224479.8	206286.0
0.5	1110	555	555	519.0	519.0	150	300                             	1038.5	1013.2	1055.8	2224.8	1935.7	2543.0	404139.7	367379.8	442901.0	5415.5	4922.9	5934.9	179895.3	215831.3	196848.1	186189.3	227405.6	206366.8
0.5	1110	555	555	514.0	514.0	150	350                             	1026.5	986.2	1057.0	2046.0	1785.9	2433.8	393550.9	363446.0	439437.1	5273.6	4870.2	5888.5	177833.7	216303.9	193465.5	184798.8	224754.4	200754.5
0.5	1110	555	555	510.5	509.0	150	400                             	1020.0	969.0	1057.0	1789.0	1491.5	2207.9	384203.1	338641.4	421245.6	5148.3	4537.8	5644.7	165616.3	207005.8	188490.6	172361.2	215039.3	193682.6
