Frac_B	N	N_a	N_b	Med_KE_A	Med_KE_B	Radius_A	Radius_B	Med_KE	Q1_KE	Q3_KE	Med_time	Q1_endtime	Q3_endtime	Med_AUDPC	Q1_AUDPC	 Q3_AUDPC	Med_AUDPC_SPS	Q1_AUDPC_SPS	Q3_AUDPC_SPS	Q1_AUDPC_A	Q3_AUDPC_A	 Med_AUDPC_A	Q1_AUDPC_B	Q3_AUDPC_B	Med_AUDPC_B
0.5	1110	555	555	453	454	300	900	908.5	830.2	976	440.2	323.8	586.5	162447.4	116603.8	196282.7	1624.5	1166.7	1963.2	59132.1	99570.1	82347.6	58373.6	96934.7	79049.5
0.5	1110	555	555	475.5	473.5	300	1000	946.5	876.5	1019.8	383	289.3	543.8	160451.5	128868	195934.3	1604.5	1289.2	1959.3	65662.9	99240.6	80738.3	63271.7	96968.5	79090.2
0.5	1110	555	555	492	490.5	300	1100	985	897.2	1042.2	386.2	270.2	527.1	161657.3	124458.8	196896.1	1616.6	1247	1973.2	62708.4	100509	81797.4	61675.2	97969.4	80633.1
0.5	1110	555	555	442	446	400	0	888	762.2	960.8	1410	1122	1794.4	298027.5	241864.1	350898.7	2980.3	2420	3509	125563.1	180061.7	153074.2	116429.6	168687.5	144461.9
0.5	1110	555	555	429.5	433	400	100	862	772.2	935.5	1379.1	1107.7	1765.3	286984.6	233033.4	353471.6	2869.8	2330.3	3534.7	116796.7	185134.3	148366.9	113164.8	169081.6	140975.8
0.5	1110	555	555	409.5	407	400	200	816	720.2	893	1180.1	959.1	1447.6	260255.9	207817	312164.6	2602.6	2081	3121.6	106751.2	162058.1	134809.2	101369.2	150557.9	126320
0.5	1110	555	555	377	377	400	300	756	659.5	835.5	955.1	768.2	1214.5	209040.2	163251.8	259941.8	2092.8	1632.5	2599.4	82143.5	134005.4	107385.9	80663.1	126625.3	102256.6
0.5	1110	555	555	354	360.5	400	400	718.5	643.5	814	805.7	588.6	1022.8	176767	138427.8	213763.5	1769.6	1387.4	2138	69058.9	113090.6	90916.9	69543.1	104375.5	85440.1
0.5	1110	555	555	380	383	400	500	760	673	842.8	688.1	515.8	875.6	174905.4	130986.5	225703.8	1749.2	1311	2257	67005.6	114785.6	89406	63604.5	111227.5	85456
0.5	1110	555	555	386.5	389	400	600	778.5	688.2	869.8	557.8	411.3	750.2	151006.7	116317	196640.9	1512.4	1163.2	1966.4	58016.8	99602.6	77285.4	57949.9	96694.7	75140.9
0.5	1110	555	555	417	419.5	400	700	832.5	752.2	908.8	508.4	372.1	639.7	159999.3	125974.4	193021.7	1601.2	1259.7	1933.8	62916.1	97940.9	79734.9	62918.3	95414.5	79327.6
0.5	1110	555	555	420	422	400	800	844	765.8	930.8	443.8	335.8	579.5	153761.4	115850.1	192684.6	1537.6	1158.5	1929.8	58041	97414.7	78023.3	57574.2	95373.6	75947.8
0.5	1110	555	555	455	457	400	900	912	836.2	975	424.3	310.6	588	152600.8	122033	184460	1526	1220.3	1850	61184.8	93561.3	77151.1	61123.8	91141.1	75540
0.5	1110	555	555	473.5	471.5	400	1000	948	842.2	1011	349	257.9	505.2	145756.9	116613.5	180868.2	1457.6	1167.4	1809.3	58501.2	91573.9	73849.2	57420.3	89904	72051.2
0.5	1110	555	555	483	482.5	400	1100	966.5	886.8	1023	340.1	231.6	499.8	145705.8	107067.3	184316.5	1457.1	1070.7	1843.2	52960.8	93405.5	73331.7	53282.7	90822.8	71564.6
0.5	1110	555	555	444.5	447	500	0	890	800	948	1030.6	782.4	1373.9	258493.7	200304.4	311110.2	2584.9	2003	3115.9	103340.1	160025.1	131908.4	99028.4	151055.1	126173.6
0.5	1110	555	555	424	427	500	100	853	746.2	934.8	1021.4	764.9	1341	243332.3	190069.2	288115.3	2436	1900.7	2881.2	95642.7	150159.5	124644.1	90755.9	141269.6	117212.6
0.5	1110	555	555	398	404	500	200	797	689.2	885	952.1	667.9	1243.2	213051.3	159842.5	265769.4	2130.5	1601	2657.7	81534.8	135767	107334	78726.4	130195.3	103259.4
0.5	1110	555	555	387	388	500	300	776.5	685.8	849	795.5	592.9	1067.2	190629	147347.8	240387.7	1906.3	1474.2	2403.9	72884.6	121380.2	97981.5	71362	117140.5	93328.9
0.5	1110	555	555	373	373	500	400	746.5	660.2	828	651.5	474.5	860.9	165162.2	126715.5	206380.8	1653.8	1270.9	2064.7	63439.9	104376.8	84792.5	63074	99769.4	80325
0.5	1110	555	555	379	385	500	500	764	691.2	843.8	576.5	445.7	773	149625	118049.3	191234.7	1497.1	1180.9	1912.3	60274.5	96755.2	74204.7	58455.5	95272.8	74299.8
0.5	1110	555	555	392.5	390.5	500	600	782.5	692.2	855.8	475.1	357.8	649.1	141760	106286.7	175537.6	1418.1	1065.4	1755.4	53675.2	88826.2	71473.7	53314.6	88309.4	70455.1
0.5	1110	555	555	416.5	417.5	500	700	834.5	741.2	907.8	467.5	316.9	632.3	146840.5	120741.8	181969	1470.5	1207.9	1819.7	60500.4	93517	74352.2	59227.9	90927.2	73135.5
0.5	1110	555	555	429.5	428	500	800	862	786.2	944.8	402.1	291.3	560.2	148140.2	112776.1	176000.6	1481.4	1128.6	1760	56504.9	89719.1	73823.9	56611.6	86915.3	72774.9
0.5	1110	555	555	453.5	456	500	900	912.5	819.5	974	391.7	288	516	147764.7	116424.3	179915.8	1478.6	1164.2	1799.2	58790.2	90836.8	74691.3	58431.3	89289.6	72960.8
0.5	1110	555	555	468	465.5	500	1000	933	853.2	995	350.1	245.6	498.1	141224.5	111809.9	172330.2	1412.2	1118.7	1723.3	56910.2	87379	72596.1	54872.6	84093.4	69749.2
0.5	1110	555	555	481.5	481	500	1100	960.5	872.2	1025.8	338.8	240.1	444	138572.9	110797.2	174032.5	1385.7	1110.7	1740.3	55088.1	87729.6	69880.6	54672.2	86897.6	69418.9
0.5	1110	555	555	433	437.5	600	0	871.5	773.2	961	805.1	594	1074.1	213663.6	165061.9	255304	2136.6	1654.8	2553	83807.7	130623	110422.9	79342.3	124889.7	103600
0.5	1110	555	555	422	422	600	100	842	755	924	744.5	557.9	975.7	204409.4	168161.7	246711.1	2044.1	1682.1	2469.5	84635.1	126843.8	104585.7	82048.3	120808.2	100785.8
0.5	1110	555	555	414.5	418	600	200	830.5	748	904.5	780.3	565.6	1048.6	198379.6	157524.2	250308.1	1986	1575.2	2503.1	79613.2	126904.1	101055.8	76452.3	121797.8	95999.6
0.5	1110	555	555	400	402.5	600	300	798.5	726.2	878.8	697.7	486.3	891.9	175617	139013.5	218327.8	1760.1	1391.2	2183.3	71622.1	110734.1	89909.4	66874.1	106714.5	86408.9
0.5	1110	555	555	392.5	395	600	400	785	697.2	872	588.2	449.6	751.6	159538.4	129663.8	192684.1	1596.7	1299.9	1927.6	64988	98911.6	81101.6	62881.5	94433.8	78005.6
0.5	1110	555	555	410.5	401	600	500	811.5	730	877.8	517.2	398.8	741	151945.1	119337.2	186898.1	1520.4	1198.1	1869.9	60503.1	93808.4	75800.1	58742.7	93024.9	74901.3
0.5	1110	555	555	407.5	402.5	600	600	810	731.5	895.8	475	364.9	645.7	150429.6	112995.1	181591.3	1504.3	1130.5	1819.1	56977.9	92286.3	76224.8	57026.8	89278.1	73893.5
