Frac_B,N,N_a,N_b,Med_KE_A,Med_KE_B,Radius,Med_KE,Q1_KE,Q3_KE,Med_time,Q1_endtime,Q3_endtime,Med_AUDPC,Q1_AUDPC,Q3_AUDPC,Med_AUDPC_SPS,Q1_AUDPC_SPS,Q3_AUDPC_SPS,Q1_AUDPC_A,Q3_AUDPC_A,Med_AUDPC_A,Q1_AUDPC_B,Q3_AUDPC_B,Med_AUDPC_B
0.2,1110,888,222,558,139.5,700,696,631.8,777.2,454,348.2,590.9,123452,99756.8,157968.9,2470.4,2002.8,3161.6,79697.8,126919.6,99722.7,19714.5,30561.4,24835.3
0.2,1110,888,222,594,150,750,746.5,664.8,811,457.1,333.1,561.1,132672,102783.2,165222.2,2655.4,2056.7,3304.4,82276.7,132519.9,105549.2,20579.2,32144.5,26186.9
0.2,1110,888,222,608,154.5,800,764.5,691.8,832.5,416.8,326.1,545.6,137948.1,104942.8,163328.7,2759,2101.3,3267.1,84252,130768.4,110325.7,20616.8,32278.8,27330
0.2,1110,888,222,632,159.5,850,790.5,716.2,845.8,379.8,280.8,524.1,126804.4,99651.5,152514.3,2536.1,1998.5,3050.3,80058.3,121720.3,101071.6,19858.5,30680.9,24585.8
0.2,1110,888,222,644,163,900,809,744,884.8,358.2,281.6,508.4,126243.4,107335.6,159821.5,2529.7,2146.7,3201.9,85873.5,128312.9,100811.3,20960.2,30833.7,25809
0.2,1110,888,222,679.5,172.5,950,849.5,789,932,369.9,293.8,484,134910.4,108525.4,164883.5,2698.2,2170.5,3297.7,87506.5,132657.8,108224.4,21251.8,32939.3,27160.2
0.2,1110,888,222,710.5,177,1000,882.5,798,950.8,366.3,285.8,463.2,136530.4,109663.3,168722.6,2733.5,2193.8,3374.5,87893.6,134648.4,109809.5,21656.5,33416.3,26834.7
0.2,1110,888,222,712.5,181,1050,896,813,965.5,326.9,242.3,447.5,133898.4,104049.4,164237,2678,2081,3284.7,83097.3,131081.7,106935.4,20892.9,32824.5,26557.6
0.2,1110,888,222,736,185,1100,921.5,846.5,981.5,302.4,241.6,425.5,129518.2,104420.4,153151.6,2590.4,2090.2,3063,84305.1,122993.9,103726.2,20744.4,30747.9,25140.5
0.2,1110,888,222,750.5,190,1150,941,862,996.8,295.9,225.8,395.9,133052.1,106624.2,159555.7,2667.8,2132.5,3191.1,84557.7,129579.2,106443.9,21363.9,31037.8,26338.7
0.2,1110,888,222,749.5,189,1200,937.5,867.5,1002.8,286.1,210.1,411.2,122745.8,101585,152305.3,2456.5,2039.9,3047.4,82229.7,122135.4,99099.9,20231.9,29757.4,24373.4
0.4,1110,666,444,655,442,0,1097,1094,1100,3833.5,3535.3,4164.2,559802.5,547543.2,568539.4,11196.1,10950.9,11370.8,249732.7,261982,256828.6,294524.3,309568.6,301778.6
0.4,1110,666,444,650,441,50,1090,1086.2,1093,3720.9,3388.6,4148,485329.4,475164,493778.9,9706.6,9503.3,9875.6,228740.8,239647,234222.3,243650.1,257190.5,250122.8
