	Frac_B	N	N_a	N_b	Med_KE_A	Med_KE_B	Radius	Med_KE	Q1_KE	Q3_KE	Med_time	Q1_endtime	Q3_endtime	Med_AUDPC	Q1_AUDPC	Q3_AUDPC	Med_AUDP_SPS	Q1_AUDPC_SPS	Q3_AUDPC_SPS	Q1_AUDPC_A	Q3_AUDPC_A	Med_AUDPC_A	Q1_AUDPC_B	Q3_AUDPC_B	Med_AUDPC_B	Med_KE_A_singlenorm	Med_KE_B_singlenorm	Med_KE_A_doublenorm	Med_KE_B_doublenorm	Med_AUDPC_A_single	Med_AUDPC_B_single	Med_AUDPC_A_double	Med_AUDPC_B_double	KE_ratio_single	KE_ratio_unnorm
63	0.4	1110	666	444	434.5	287.0	650	721.0	653.0	794.5	608.9	435.6	786.9	150651.7	119735.3	191148.3	3013.0	2395.7	3824.5	72587.1	116532.5	91822.6	47439.0	74841.4	59355.8	0.6524024024024024	0.6463963963963963	32.62012012012012	32.31981981981982	137.8717717717718	133.68423423423425	6893.588588588589	6684.211711711711	0.9907940161104717	1.5139372822299653
64	0.4	1110	666	444	445.0	297.5	700	742.0	669.0	822.8	537.4	407.1	721.4	150098.2	116501.8	192183.4	3005.8	2335.1	3844.8	70762.1	117497.1	91143.8	45460.3	74249.3	59290.7	0.6681681681681682	0.670045045045045	33.408408408408405	33.50225225225225	136.85255255255257	133.5376126126126	6842.627627627628	6676.88063063063	1.002808988764045	1.495798319327731
65	0.4	1110	666	444	471.5	313.0	750	781.0	696.0	856.0	489.9	380.4	661.8	150963.0	114498.8	184397.8	3021.6	2290.2	3688.2	69579.2	111840.2	91381.6	45370.3	73148.4	59818.0	0.7079579579579579	0.704954954954955	35.39789789789789	35.247747747747745	137.20960960960963	134.72522522522522	6860.480480480481	6736.261261261261	0.9957582184517498	1.5063897763578276
66	0.4	1110	666	444	475.0	319.0	800	794.5	709.5	863.8	469.3	364.0	645.7	149180.5	119354.6	183668.0	2983.6	2387.1	3673.4	71663.8	111276.5	91120.0	47053.8	71882.2	59157.1	0.7132132132132132	0.7184684684684685	35.66066066066066	35.92342342342342	136.8168168168168	133.2367117117117	6840.84084084084	6661.835585585585	1.0073684210526317	1.4890282131661443
67	0.4	1110	666	444	486.5	327.5	850	818.0	739.0	883.8	446.6	334.1	599.8	144135.0	114174.5	174898.5	2890.5	2284.3	3505.6	67912.5	106431.2	87469.8	45536.5	69616.2	56981.4	0.7304804804804805	0.7376126126126126	36.52402402402402	36.88063063063063	131.33603603603603	128.33648648648648	6566.801801801802	6416.824324324324	1.0097636176772866	1.4854961832061069
68	0.4	1110	666	444	504.0	339.5	900	847.0	768.2	903.8	401.3	311.1	530.0	141618.8	115639.9	170582.2	2836.9	2316.4	3411.6	70342.8	101912.0	85114.1	45914.2	67519.0	55950.4	0.7567567567567568	0.7646396396396397	37.83783783783784	38.23198198198198	127.79894894894896	126.01441441441442	6389.947447447447	6300.72072072072	1.0104166666666667	1.4845360824742269
69	0.4	1110	666	444	521.0	352.0	950	874.0	791.0	929.0	375.3	293.8	487.6	143475.8	112522.0	173529.4	2871.2	2255.8	3471.5	67933.0	104938.2	85689.5	44893.2	69454.8	57792.2	0.7822822822822822	0.7927927927927928	39.11411411411411	39.63963963963964	128.6629129129129	130.1626126126126	6433.145645645645	6508.13063063063	1.013435700575816	1.4801136363636365
70	0.4	1110	666	444	536.0	359.0	1000	893.0	824.5	960.8	369.5	279.1	522.6	147151.0	114497.7	173096.6	2943.0	2290.0	3462.9	68383.3	105356.9	87674.8	46206.4	68947.7	57577.5	0.8048048048048048	0.8085585585585585	40.24024024024024	40.427927927927925	131.64384384384385	129.67905405405406	6582.192192192192	6483.9527027027025	1.0046641791044777	1.4930362116991645
71	0.4	1110	666	444	547.5	366.5	1050	912.5	835.2	973.0	337.9	267.3	459.2	145701.5	116318.9	178160.7	2914.0	2326.4	3566.6	69701.7	107322.8	88069.0	46161.9	70525.6	58062.1	0.8220720720720721	0.8254504504504504	41.1036036036036	41.27252252252252	132.23573573573574	130.77049549549548	6611.786786786786	6538.524774774774	1.0041095890410958	1.4938608458390177
72	0.4	1110	666	444	554.0	371.0	1100	927.0	845.0	996.8	327.5	246.1	448.2	141401.8	108145.8	173777.3	2828.0	2164.9	3478.7	64412.1	105641.4	85836.7	43165.2	69738.9	55288.4	0.8318318318318318	0.8355855855855856	41.591591591591595	41.77927927927928	128.88393393393392	124.52342342342342	6444.196696696697	6226.1711711711705	1.0045126353790614	1.4932614555256065
73	0.4	1110	666	444	561.0	376.5	1150	938.0	874.2	1001.8	335.1	250.7	440.9	136276.2	113525.2	170057.8	2725.5	2271.5	3401.2	68351.6	101711.7	82553.6	45273.8	68137.4	53427.9	0.8423423423423423	0.847972972972973	42.11711711711711	42.39864864864865	123.95435435435436	120.3331081081081	6197.717717717718	6016.655405405405	1.0066844919786098	1.4900398406374502
