# 2D Parameter Scan for FracB and Single Radius Control: Landscape Size 4000
# Kernel = <function exponential_kernel at 0x7fc55e39ea20>; Scale Parameter = 119m ; Sps Parameters = [[0.02       0.09       0.00285714 0.00053   ]
 [0.02       0.14       0.00285714 0.00053   ]]
# control_start = random
Frac_B	N	N_a	N_b	Radius	Med_KE_A	Med_KE_B	Med_KE	Q1_KE	Q3_KE	Med_time	Q1_endtime	Q3_endtime	Med_AUDPC	Q1_AUDPC	Q3_AUDPC	Med_AUDP_SPS	Q1_AUDPC_SPS	Q3_AUDPC_SPS	Q1_AUDPC_A	Q3_AUDPC_A	Med_AUDPC_A	Q1_AUDPC_B	Q3_AUDPC_B	Med_AUDPC_B
0.6000000000000001	1110	444	666	308.0	463.5	650	773.0	691.0	844.5	712.5	551.2	885.8	178118.9	144487.7	216694.9	3564.6	2895.0	4333.9	58663.2	89137.5	72976.4	85386.5	125441.8	103745.6
0.6000000000000001	1110	444	666	321.0	482.0	700	800.0	723.2	882.8	639.3	457.6	826.3	168331.0	135347.8	209968.8	3366.6	2707.0	4204.7	55092.2	84462.1	68378.5	80520.0	121845.2	100106.3
0.6000000000000001	1110	444	666	321.5	484.5	750	801.0	729.5	883.0	564.7	406.2	771.1	163347.2	130761.8	197952.8	3269.5	2615.2	3963.6	52638.5	81737.4	65783.3	78405.5	115827.9	97034.6
0.6000000000000001	1110	444	666	329.0	492.5	800	821.0	752.5	903.8	558.6	400.0	767.2	160288.2	131149.9	203816.8	3205.8	2623.0	4076.3	54104.4	82694.0	65702.3	75281.9	120836.8	95101.0
0.6000000000000001	1110	444	666	333.0	498.0	850	831.5	747.5	917.2	484.7	360.1	654.0	155888.9	127635.6	193217.9	3120.8	2552.7	3864.4	51405.4	78084.5	63061.4	75452.6	115274.8	92855.5
0.6000000000000001	1110	444	666	345.0	516.0	900	858.5	786.2	928.8	433.7	336.8	599.0	157250.5	128971.7	186928.1	3151.0	2580.7	3738.6	53050.4	75627.0	64608.5	76243.6	110644.4	93184.6
0.6000000000000001	1110	444	666	351.5	527.0	950	880.5	813.2	956.0	442.9	333.4	572.2	161034.3	130408.9	191818.0	3226.2	2613.2	3843.2	52920.5	78407.8	65063.0	77135.7	114341.8	95569.3
0.6000000000000001	1110	444	666	353.0	529.0	1000	880.0	799.5	958.5	384.8	290.5	534.4	147465.3	123404.2	181191.1	2949.3	2468.1	3623.8	49970.3	73751.4	59580.2	72619.6	108345.5	88400.8
0.6000000000000001	1110	444	666	361.0	543.5	1050	904.0	841.0	969.8	403.4	304.3	538.2	151812.5	118286.3	178135.4	3036.2	2365.7	3564.3	48158.2	73175.2	60868.2	70728.7	107044.0	90874.9
0.6000000000000001	1110	444	666	376.0	565.0	1100	941.5	856.2	1006.0	382.6	297.7	527.9	157047.4	132206.2	186371.1	3140.9	2644.1	3733.6	53628.7	75478.2	63518.9	77729.4	111237.1	94466.2
0.6000000000000001	1110	444	666	384.0	574.0	1150	954.5	868.0	1015.8	362.1	284.4	491.5	154147.6	128605.3	180967.3	3083.0	2572.1	3619.3	52277.1	73685.9	62552.0	76555.0	107300.7	91829.9
0.6000000000000001	1110	444	666	385.0	579.0	1200	964.0	894.5	1021.8	360.2	265.3	496.0	149853.0	122551.5	176846.0	2997.1	2451.5	3539.0	49195.2	71816.7	60344.9	72892.8	105788.9	89457.1
