# 2D Parameter Scan for FracB and Single Radius Control: Landscape Size 4000
# Kernel = <function exponential_kernel at 0x7f53d596ec00>; Scale Parameter = 119m ; Sps Parameters = [[0.015      0.14       0.00285714 0.00053   ]
 [0.015      0.14       0.002      0.00053   ]]
# control_start = random
Frac_B	Radius	Med_KE	Q1_KE	Q3_KE	Med_time	Q1_endtime	Q3_endtime	Med_AUDPC	Q1_AUDPC	Q3_AUDPC	Med_AUDP_SPS	Q1_AUDPC_SPS	Q3_AUDPC_SPS
0.6000000000000001	400	610.5		518.0	706.0	970.3	746.5	1262.7	175721.0	119527.4	219573.7	2637.1	1796.1	3295.9
0.6000000000000001	450	598.0		510.0	667.2	812.6	626.0	1052.5	149406.3	110654.3	185696.2	2243.4	1664.3	2791.2
0.6000000000000001	500	596.0		529.5	696.5	691.3	540.7	890.3	131749.7	103640.9	175250.4	1978.0	1557.0	2632.9
0.6000000000000001	550	624.5		546.5	690.8	592.5	443.2	792.3	131158.9	98654.3	166400.3	1967.4	1484.8	2496.0
0.6000000000000001	600	664.5		590.5	735.0	550.3	428.0	695.3	131853.4	104252.1	163303.2	1979.7	1564.9	2450.4
0.6000000000000001	650	680.0		597.2	763.0	496.3	363.9	647.8	124550.0	99081.0	152432.7	1873.1	1493.1	2286.5
0.6000000000000001	700	712.5		640.2	795.8	452.6	338.8	578.1	124929.8	99294.3	155674.3	1875.4	1489.4	2339.0
0.6000000000000001	750	725.5		661.5	804.5	411.3	317.0	546.7	127073.6	98820.4	152799.4	1909.9	1487.4	2294.0
0.6000000000000001	800	770.0		690.8	837.0	399.1	325.1	525.1	127410.5	103589.8	154413.1	1916.4	1556.6	2317.1
0.6000000000000001	850	801.0		714.2	860.0	380.9	306.8	487.6	128130.7	106802.8	153094.9	1922.8	1604.4	2296.4
0.6000000000000001	900	824.0		750.2	886.2	357.0	261.9	478.8	131534.2	106292.5	156019.3	1973.0	1594.4	2340.3
0.6000000000000001	950	842.0		763.2	907.0	340.3	263.6	448.9	127442.7	101419.8	159053.9	1912.2	1521.3	2385.8
0.6000000000000001	1000	860.0		781.0	931.8	312.1	250.7	410.0	125402.3	100705.5	150538.9	1881.0	1510.6	2258.1
0.6000000000000001	1050	883.5		817.5	942.0	304.8	228.4	411.7	129036.2	102773.4	153760.2	1936.6	1543.9	2306.4
0.6000000000000001	1100	906.5		847.5	973.8	303.9	225.1	403.6	131961.7	101255.9	152500.8	1980.8	1519.3	2287.5
0.6000000000000001	1150	939.5		860.2	1004.0	295.0	225.2	390.8	132689.3	106524.5	158752.8	1995.4	1597.9	2383.5
0.6000000000000001	1200	941.5		867.8	1013.8	289.2	214.2	363.9	124914.0	101829.3	150381.7	1873.7	1530.4	2255.7
0.8	0	1097.0		1093.0	1101.0	4480.8	4142.9	4926.9	562333.0	551944.4	577185.0	8435.0	8279.2	8657.8
0.8	50	1089.0		1085.0	1092.8	4333.1	3918.6	4767.5	484604.3	474954.4	494738.2	7269.1	7124.3	7421.1
0.8	100	1065.0		1055.2	1072.0	3937.5	3551.8	4396.0	421720.0	407978.9	437450.0	6325.8	6119.7	6561.7
0.8	150	1021.0		1001.0	1044.0	3441.0	3025.4	3970.7	431243.4	402408.4	467616.6	6468.7	6036.1	7014.2
0.8	200	937.0		874.2	979.0	2873.9	2460.4	3327.8	413977.0	371173.5	460660.2	6209.7	5567.6	6911.6
0.8	250	841.5		736.5	918.0	2199.9	1872.8	2814.4	357698.7	289836.3	421267.1	5365.5	4347.5	6320.5
0.8	300	725.5		616.5	812.5	1677.5	1337.5	2081.8	274407.0	198669.7	341887.3	4116.1	2983.5	5129.3
0.8	350	665.0		542.5	751.5	1318.3	1013.1	1692.0	216592.5	163979.9	279029.5	3248.9	2459.7	4187.9
0.8	400	617.0		531.2	721.2	1077.4	816.8	1404.3	181053.7	137522.2	234952.7	2717.6	2062.8	3524.3
0.8	450	617.5		525.2	706.2	861.4	662.4	1121.3	159478.5	117103.9	206479.7	2396.0	1760.3	3097.2
0.8	500	645.0		550.0	718.8	754.3	596.9	1003.1	150085.6	116556.8	195166.4	2254.3	1751.7	2927.5
0.8	550	629.0		556.5	742.0	629.0	479.5	823.6	141619.2	102333.2	186950.4	2124.3	1536.5	2809.0
0.8	600	663.5		580.2	736.8	600.7	466.3	767.4	138629.7	104510.2	174948.8	2082.2	1570.3	2626.0
0.8	650	687.0		615.5	765.5	491.0	393.1	632.9	131746.9	104209.0	164577.8	1976.2	1565.2	2468.7
0.8	700	722.0		646.8	789.5	488.5	375.7	648.5	135013.0	106236.8	163430.3	2028.4	1595.7	2457.2
0.8	750	739.5		675.0	813.8	456.4	345.5	596.9	134032.2	108871.9	164792.0	2013.4	1638.4	2473.6
0.8	800	751.5		684.0	825.8	406.2	307.3	535.6	129002.4	104046.0	153832.8	1937.1	1560.7	2313.3
0.8	850	805.5		750.2	856.8	401.1	308.2	512.8	134950.8	108436.4	161013.0	2024.3	1627.3	2415.2
0.8	900	820.5		749.5	891.8	390.2	306.0	507.3	135867.3	114459.5	168442.3	2038.0	1718.6	2526.8
0.8	950	850.0		782.2	912.8	350.1	263.8	508.6	134334.1	107795.3	166410.9	2017.9	1618.0	2499.8
0.8	1000	888.0		806.2	943.5	356.2	267.0	481.2	133974.7	108430.5	163831.9	2009.6	1626.5	2457.5
0.8	1050	888.5		825.2	957.8	328.3	252.3	463.0	132295.7	106408.1	164122.1	1986.8	1596.4	2464.3
0.8	1100	903.0		825.0	967.8	319.0	235.2	416.8	130183.6	101310.7	161373.5	1953.1	1521.9	2422.6
0.8	1150	938.0		877.2	989.0	310.7	232.0	416.2	135854.2	107212.3	158273.3	2037.8	1609.5	2374.1
0.8	1200	946.0		872.8	1002.8	318.3	219.7	395.9	133170.0	99543.8	159949.1	1997.5	1493.6	2402.4
1.0	0	1100.0		1097.2	1103.0	4529.3	4164.1	4952.3	596705.2	584386.6	606462.8	8950.6	8765.8	9096.9
1.0	50	1094.0		1089.2	1097.0	4348.4	4010.3	4861.0	509651.6	497058.7	521563.6	7644.8	7457.4	7823.5
1.0	100	1072.0		1064.0	1078.0	4051.9	3671.1	4539.0	432089.5	415887.5	449081.1	6482.3	6241.8	6736.2
1.0	150	1037.0		1020.2	1054.0	3542.6	3102.3	3986.0	427776.8	396956.6	457644.8	6416.7	5954.3	6864.7
1.0	200	972.0		908.5	1010.8	3054.3	2617.8	3534.0	424493.0	378490.6	478537.8	6367.4	5677.4	7178.1
1.0	250	865.5		786.5	933.8	2302.9	1954.6	2754.7	375542.1	311006.2	430497.3	5637.5	4666.6	6461.6
