# 2D Parameter Scan for FracB and Single Radius Control: Landscape Size 4000
# Kernel = <function exponential_kernel at 0x7f48b84f2ca0>; Scale Parameter = 119m ; Sps Parameters = [[0.015      0.14       0.00285714 0.00053   ]
 [0.015      0.14       0.00285714 0.00053   ]]
# control_start = random
Frac_B	Radius	Med_KE	Q1_KE	Q3_KE	Med_time	Q1_endtime	Q3_endtime	Med_AUDPC	Q1_AUDPC	Q3_AUDPC	Med_AUDP_SPS	Q1_AUDPC_SPS	Q3_AUDPC_SPS
1.0	450	955.5		861.0	1011.8	1731.9	1447.0	2036.8	351070.7	300399.9	410820.1	5266.1	4506.0	6162.3
1.0	500	922.0		852.2	987.0	1464.6	1189.5	1814.8	324240.6	284168.7	367082.1	4863.6	4262.5	5506.2
1.0	550	912.5		827.2	965.8	1386.8	1114.7	1759.4	309809.2	262591.5	355512.5	4647.1	3942.9	5332.7
1.0	600	874.5		794.5	949.0	1140.5	908.1	1481.4	280621.7	230470.1	324965.1	4209.3	3459.1	4874.5
1.0	650	874.0		786.2	952.8	1063.9	824.3	1347.2	267223.2	226625.5	317806.3	4008.3	3402.3	4767.1
1.0	700	875.5		784.0	959.8	928.7	729.6	1198.3	250244.7	203970.7	298518.0	3753.7	3059.6	4477.8
1.0	750	859.0		774.0	956.0	852.3	665.1	1122.9	240874.7	195291.8	278170.4	3613.1	2931.1	4177.4
1.0	800	884.0		795.0	934.8	794.3	620.5	1031.9	239241.4	197126.4	277234.2	3592.7	2960.7	4158.5
1.0	850	903.5		797.8	963.8	721.6	572.0	940.1	228023.6	190125.9	273003.6	3423.1	2853.1	4098.1
1.0	900	901.5		820.2	964.0	623.4	493.9	815.3	217698.5	182699.2	250610.1	3265.5	2741.8	3760.2
1.0	950	912.5		848.8	973.0	621.4	496.4	820.7	219196.5	184661.9	259035.9	3289.7	2774.7	3891.6
1.0	1000	921.5		836.5	982.2	603.8	467.5	781.2	214574.9	174075.4	253304.1	3218.6	2614.6	3799.6
1.0	1050	937.5		880.0	1001.5	541.4	427.5	755.7	218436.6	177615.7	255369.6	3276.5	2664.2	3830.5
1.0	1100	944.0		872.0	1004.0	545.5	429.0	714.1	210767.0	179905.6	243414.4	3161.5	2698.6	3651.2
1.0	1150	970.0		898.0	1021.0	510.8	404.4	696.9	215182.6	178799.6	251448.5	3227.7	2684.6	3771.7
1.0	1200	979.0		909.0	1027.5	498.2	394.4	632.2	211442.0	173134.7	243799.1	3171.6	2597.0	3657.0
