# 2D Parameter Scan for FracB and Single Radius Control: Landscape Size 4000
# Kernel = <function cauchy_thick at 0x7f8e8ad06b60>; Scale Parameter = 84.5m ; Sps Parameters = [[0.00785    0.14       0.00333333 0.00053   ]
 [0.00785    0.14       0.00333333 0.00053   ]]
# control_start = random
Frac_B	Radius	Med_KE	Q1_KE	Q3_KE	Med_time	Q1_endtime	Q3_endtime	Med_AUDPC	Q1_AUDPC	Q3_AUDPC	Med_AUDP_SPS	Q1_AUDPC_SPS	Q3_AUDPC_SPS
0.6000000000000001	600	1008.0		949.2	1039.5	1112.0	873.6	1447.6	312339.3	280137.8	356085.1	2451.9	2199.1	2798.5
0.6000000000000001	650	1004.5		941.2	1054.0	1120.4	818.5	1490.5	307012.3	263289.5	354341.1	2410.0	2066.8	2782.3
0.6000000000000001	700	998.5		929.2	1044.0	891.5	711.3	1137.5	275154.9	234999.7	317069.9	2160.0	1844.7	2489.0
0.6000000000000001	750	996.5		940.2	1047.8	858.6	689.8	1108.9	271206.8	223645.2	313881.4	2130.8	1757.7	2464.0
0.6000000000000001	800	1015.0		933.5	1056.8	833.9	621.8	1042.2	262897.2	212615.9	300597.3	2063.7	1669.0	2359.7
0.6000000000000001	850	998.5		939.5	1046.0	747.6	554.4	984.5	239250.3	202028.4	281359.4	1878.1	1585.9	2208.7
0.6000000000000001	900	1010.0		960.5	1049.8	694.4	506.8	952.1	235526.9	193287.5	276019.8	1848.9	1519.7	2166.8
0.6000000000000001	950	1017.5		942.0	1065.0	654.9	506.6	881.3	223586.3	182709.2	262788.1	1755.2	1434.3	2064.1
0.6000000000000001	1000	1020.5		961.0	1063.5	596.2	438.2	840.7	220232.7	178104.9	255647.3	1728.8	1398.1	2006.8
0.6000000000000001	1050	1026.0		973.2	1064.0	533.5	405.3	740.7	202617.5	165151.5	237975.5	1593.7	1296.4	1868.1
0.6000000000000001	1100	1042.0		990.2	1078.0	542.2	410.6	755.8	206763.8	166755.8	246100.4	1623.1	1309.0	1931.9
0.6000000000000001	1150	1036.5		971.0	1070.8	527.3	390.5	721.3	200179.7	161332.0	233428.4	1571.4	1270.7	1832.4
0.6000000000000001	1200	1035.5		977.0	1079.8	471.1	333.7	662.5	186693.6	149316.4	227178.2	1465.5	1173.3	1783.3
0.8	0	1100.0		1097.0	1103.0	3780.6	3549.4	4108.6	630854.8	619997.0	642813.1	4952.2	4868.2	5046.1
0.8	50	1094.5		1092.0	1097.0	3738.0	3446.3	4018.7	557618.2	547684.9	567040.0	4377.3	4299.3	4452.8
0.8	100	1083.0		1078.0	1087.0	3471.8	3205.2	3838.8	473740.2	464946.7	486019.1	3718.9	3649.8	3815.2
0.8	150	1074.0		1068.0	1081.0	3098.5	2802.4	3484.4	460253.7	446116.2	477555.1	3613.0	3502.0	3748.8
0.8	200	1070.0		1060.0	1076.0	2799.6	2486.2	3147.8	462786.6	442721.6	484661.4	3632.9	3475.4	3804.6
0.8	250	1064.0		1053.2	1074.0	2455.2	2178.7	2794.6	465893.6	433443.7	495029.5	3657.3	3402.5	3886.0
0.8	300	1062.0		1046.2	1073.0	2210.2	1932.9	2564.2	462504.0	432212.1	489368.9	3630.7	3392.9	3841.5
0.8	350	1053.0		1035.2	1066.8	1997.9	1711.7	2388.6	446607.5	414041.4	477220.1	3505.9	3250.2	3746.2
0.8	400	1055.5		1035.0	1070.0	1792.7	1491.2	2088.7	428337.1	396878.1	464917.5	3362.4	3115.5	3649.6
0.8	450	1052.0		1023.2	1070.8	1668.8	1393.7	2124.2	418523.9	387554.7	456315.5	3285.4	3042.3	3582.1
0.8	500	1048.0		1017.0	1069.5	1469.6	1215.1	1872.1	390932.2	363239.8	433125.4	3071.2	2851.4	3400.0
0.8	550	1043.0		1003.8	1069.0	1377.3	1140.4	1715.3	374400.6	337886.5	409580.0	2939.0	2652.4	3215.2
0.8	600	1047.0		1007.5	1076.8	1311.3	1059.2	1647.5	360539.4	325356.8	403022.6	2830.2	2554.1	3163.7
0.8	650	1035.5		991.0	1063.0	1211.5	951.1	1483.0	333115.2	302124.7	382621.4	2615.0	2371.7	3003.6
0.8	700	1039.0		992.2	1068.8	1059.3	910.2	1296.4	319922.8	282534.8	361946.9	2511.4	2217.9	2841.3
0.8	750	1042.0		992.0	1074.0	1053.3	843.3	1341.4	312649.8	278128.4	359229.6	2454.3	2183.3	2820.0
0.8	800	1042.0		1009.0	1074.0	959.0	749.7	1232.7	310050.3	267436.6	341773.3	2433.9	2099.4	2682.9
0.8	850	1040.0		993.2	1072.0	856.8	641.0	1106.6	284984.7	246581.0	324528.4	2237.1	1935.7	2549.6
