# 2D Parameter Scan for FracB and Single Radius Control: Landscape Size 3000
# Kernel = <function exponential_kernel at 0x7f858d84eb60>; Scale Parameter = 119m ; Sps Parameters = [[0.00833    0.14       0.00285714 0.00053   ]
 [0.00833    0.14       0.002      0.00053   ]]
# control_start = random
Frac_B	N	N_a	N_b	Radius	Med_KE_A	Med_KE_B	Med_KE	Q1_KE	Q3_KE	Med_time	Q1_endtime	Q3_endtime	Med_AUDPC	Q1_AUDPC	Q3_AUDPC	Med_AUDP_SPS	Q1_AUDPC_SPS	Q3_AUDPC_SPS	Q1_AUDPC_A	Q3_AUDPC_A	Med_AUDPC_A	Q1_AUDPC_B	Q3_AUDPC_B	Med_AUDPC_B
0.4	1110	666	444	494.5	328.0	250	819.0	721.2	894.0	1458.2	1160.7	1808.6	290606.8	240739.3	349871.0	2420.8	2005.4	2914.4	145636.1	211502.6	174952.0	95347.0	138398.7	116167.0
0.4	1110	666	444	456.0	303.5	300	761.0	657.0	856.0	1133.6	890.3	1432.8	228522.1	181764.3	282844.5	1903.6	1514.9	2356.1	107321.9	169447.5	139137.1	73683.2	113361.7	91485.0
0.4	1110	666	444	452.0	305.0	350	755.5	650.2	850.2	950.4	755.2	1162.8	202599.9	162221.5	252387.5	1688.6	1351.3	2102.4	96033.0	152829.0	119137.2	63440.2	100614.9	81013.5
0.4	1110	666	444	434.0	288.0	400	720.5	637.0	813.2	790.8	604.5	977.2	175706.2	126823.5	215808.3	1464.9	1059.3	1798.6	76716.4	130618.4	107475.0	51748.9	86528.8	70999.0
0.4	1110	666	444	448.0	298.0	450	751.0	651.2	815.0	641.7	490.0	863.7	162878.2	121234.0	201803.0	1357.4	1010.6	1681.0	71663.2	121793.1	98097.0	48956.6	80305.8	64432.5
0.4	1110	666	444	456.5	304.0	500	763.0	668.2	840.8	559.5	450.1	750.0	149112.9	119093.5	189200.4	1242.1	995.5	1576.0	71462.6	113719.6	89713.9	46342.0	73905.5	59461.6
0.4	1110	666	444	478.0	318.0	550	795.0	704.5	857.0	492.6	370.2	661.0	149040.3	115442.0	178950.8	1243.0	964.8	1490.7	68763.1	108104.4	89017.3	46705.0	71584.7	58865.0
0.4	1110	666	444	481.5	319.5	600	798.0	725.2	884.8	424.1	326.3	566.3	136231.9	104070.6	166554.1	1136.2	867.5	1387.4	62176.5	98239.4	81785.2	41993.3	67370.2	53912.0
0.4	1110	666	444	495.0	332.5	650	827.5	758.5	899.8	382.9	292.7	515.9	126797.3	101205.4	159604.1	1056.2	844.7	1329.5	60937.8	94930.9	76255.1	40934.7	64211.7	51699.0
0.4	1110	666	444	524.5	347.0	700	871.0	791.0	940.5	362.3	270.6	462.9	134476.0	106099.0	161678.3	1120.2	884.2	1346.8	64452.4	97015.7	80376.9	41889.8	64461.7	53437.2
0.4	1110	666	444	534.5	354.0	750	887.0	798.2	963.5	358.9	256.6	480.8	131425.7	97972.7	160052.2	1094.8	816.1	1333.2	58544.5	96294.9	79846.2	39476.2	64831.2	51940.5
0.4	1110	666	444	557.5	369.5	800	923.5	849.8	998.0	333.5	248.3	469.4	133341.3	108251.0	161841.5	1110.7	901.7	1348.1	64845.9	97281.7	79840.0	42976.3	65342.9	53725.0
0.4	1110	666	444	569.0	378.5	850	944.0	879.2	1011.8	297.5	229.2	436.5	132458.7	105554.0	159041.3	1104.3	879.3	1324.8	63173.2	96678.3	79965.3	42355.2	63011.8	52732.1
